,2012:5:1-2012:6:1,2012:6:1-2012:7:1,2012:7:1-2012:8:1,2012:8:1-2012:9:1,2012:9:1-2012:10:1,2012:10:1-2012:11:1,2012:11:1-2012:12:1,2012:12:1-2013:1:1,2013:1:1-2013:2:1,2013:2:1-2013:3:1,2013:3:1-2013:4:1,2013:4:1-2013:5:1,2013:5:1-2013:6:1,2013:6:1-2013:7:1,2013:7:1-2013:8:1,2013:8:1-2013:9:1,2013:9:1-2013:10:1,2013:10:1-2013:11:1,2013:11:1-2013:12:1,2013:12:1-2014:1:1,2014:1:1-2014:2:1,2014:2:1-2014:3:1,2014:3:1-2014:4:1,2014:4:1-2014:5:1,2014:5:1-2014:6:1,2014:6:1-2014:7:1,2014:7:1-2014:8:1,2014:8:1-2014:9:1,2014:9:1-2014:10:1,2014:10:1-2014:11:1,2014:11:1-2014:12:1,2014:12:1-2015:1:1,2015:1:1-2015:2:1,2015:2:1-2015:3:1,2015:3:1-2015:4:1,2015:4:1-2015:5:1,2015:5:1-2015:6:1,2015:6:1-2015:7:1,2015:7:1-2015:8:1,2015:8:1-2015:9:1,2015:9:1-2015:10:1,2015:10:1-2015:11:1,2015:11:1-2015:12:1,2015:12:1-2016:1:1,2016:1:1-2016:2:1,2016:2:1-2016:3:1,2016:3:1-2016:4:1,2016:4:1-2016:5:1,2016:5:1-2016:6:1,2016:6:1-2016:7:1,2016:7:1-2016:8:1,2016:8:1-2016:9:1
SoftLayer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Tata Consultancy Services, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
VA Linux Systems Japan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
GNOME Foundation, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Inktank, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Nippon Telegraph and Telephone, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Metsi Technologies, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Apple, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 2, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Cisco, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 7, 4, 1, 3, 1, 4, 1, 2, 3, 0, 0, 2, 3, 1, 0, 1, 0, 3, 1, 1, 2, 1, 3, 1, 1
DreamHost, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
